n,m,repetitions,variance_exact,variance_empirical,naive_hoeffding_coverage,cluster_hoeffding_coverage,cluster_t_coverage
16,1,10000,0.025,0.024797700043441846,1.0,1.0,0.9534
16,4,10000,0.013750000000000002,0.013456434940369036,0.9964,1.0,0.9501
16,16,10000,0.010937500000000003,0.010873465862058618,0.8975,1.0,0.9498
16,64,10000,0.010234375000000002,0.01021605803372085,0.5823,1.0,0.9418
16,256,10000,0.010058593750000002,0.01001732027385876,0.2543,1.0,0.9308
16,1024,10000,0.010014648437500002,0.010105077587328875,0.1928,1.0,0.9245
