regime,C,B,value_seed,value_recursive,value_fixed,gain_recursive,gain_fixed,gamma_exact,identity_error,mean,se,t_lower,t_upper,hoeffding_lower,hoeffding_upper,n_development
positive,1,1,0.020000000000000018,0.034000000000000016,0.034000000000000016,0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
positive,1,4,0.07763184000000012,0.11956956800000011,0.11956956800000011,0.041937727999999994,0.041937727999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
positive,1,16,0.2762022794075044,0.3519119917849216,0.3519119917849216,0.0757097123774172,0.0757097123774172,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
positive,2,1,0.020000000000000018,0.06370000000000002,0.04634000000000002,0.0437,0.026340000000000002,0.01736,0.0,0.017480468749999995,0.0007510135743348659,0.01600807399688399,0.018952863503116,-0.04435985526334049,0.07932079276334049,4096
positive,2,4,0.07763184000000012,0.2004215200000001,0.1558271296000001,0.12278967999999998,0.0781952896,0.04459439039999999,6.938893903907228e-18,0.04485454765624998,0.00199669895676004,0.04093993257077776,0.0487691627417222,-0.01698577635709051,0.10669487166959046,4096
positive,2,16,0.2762022794075044,0.4587141933151766,0.41367640842901243,0.18251191390767219,0.13747412902150802,0.04503778488616417,1.3877787807814457e-17,0.045217946621203514,0.002202387194926967,0.04090007080516077,0.04953582243724626,-0.016622377392136976,0.10705827063454401,4096
positive,4,1,0.020000000000000018,0.13734925000000003,0.06729127400000001,0.11734925000000002,0.047291273999999994,0.07005797600000002,2.7755575615628914e-17,0.07047851562499999,0.00146125472100428,0.06761366223526172,0.07334336901473826,0.008638191611659497,0.13231883963834049,4096
positive,4,4,0.07763184000000012,0.3842634550000001,0.21579816414400008,0.30663161499999997,0.13816632414399996,0.168465290856,2.7755575615628914e-17,0.16937489679687495,0.0035979897534469726,0.16232088150902568,0.17642891208472422,0.10753457278353445,0.23121522081021545,4096
positive,4,16,0.2762022794075044,0.6584085167856986,0.5075301685066607,0.38220623737819415,0.23132788909915625,0.1508783482790379,5.551115123125783e-17,0.15151111584725885,0.003558832023540828,0.14453387099076803,0.15848836070374966,0.08967079183391835,0.21335143986059935,4096
positive,8,1,0.020000000000000018,0.2404350214328126,0.09957600325017675,0.22043502143281257,0.07957600325017673,0.14085901818263585,5.551115123125783e-17,0.13962890625000002,0.001664279639673036,0.13636601368332088,0.14289179881667916,0.07778858223665952,0.20146923026334052,4096
positive,8,4,0.07763184000000012,0.6251748545170939,0.3044475165645696,0.5475430145170938,0.22681567656456947,0.3207273379525243,0.0,0.31719971140625,0.004050319802596706,0.30925888339782553,0.3251405394146744,0.2553593873929095,0.37904003541959047,4096
positive,8,16,0.2762022794075044,0.8818903680563069,0.626835550236377,0.6056880886488025,0.35063327082887263,0.2550548178199299,2.7755575615628914e-16,0.25087619926057525,0.003910175272114903,0.24321013069513703,0.25854226782601347,0.18903587524723475,0.31271652327391575,4096
positive,16,1,0.020000000000000018,0.29378512853465727,0.1442335039910775,0.27378512853465725,0.12423350399107749,0.14955162454357976,5.551115123125783e-17,0.14784179687500004,0.0015497903701853445,0.1448033654970964,0.15088022825290368,0.08600147286165954,0.20968212088834054,4096
positive,16,4,0.07763184000000012,0.7459350570701869,0.4213018533171702,0.6683032170701868,0.34367001331717006,0.32463320375301674,2.220446049250313e-16,0.320586401015625,0.0038631474589348376,0.3130125325218542,0.32816026950939586,0.2587460770022845,0.3824267250289655,4096
positive,16,16,0.2762022794075044,0.9849865891081427,0.7568466599850996,0.7087843097006383,0.4806443805775952,0.22813992912304315,4.440892098500626e-16,0.22463144030825555,0.0038450066823425126,0.21709313759543034,0.23216974302108076,0.16279111629491505,0.28647176432159605,4096
positive,32,1,0.020000000000000018,0.2999375857708623,0.1965061198423399,0.2799375857708623,0.17650611984233988,0.10343146592852243,1.6653345369377348e-16,0.10264648437500004,0.001370440397202292,0.09995967641405745,0.10533329233594263,0.04080616036165955,0.16448680838834054,4096
positive,32,4,0.07763184000000012,0.7597598024139499,0.5518245389351741,0.6821279624139498,0.474192698935174,0.20793526347877578,6.661338147750939e-16,0.20624665601562508,0.003266792038088887,0.19984196824328596,0.21265134378796421,0.1444063320022846,0.2680869800289656,4096
