regime,C,B,value_seed,value_recursive,value_fixed,gain_recursive,gain_fixed,gamma_exact,identity_error,mean,se,t_lower,t_upper,hoeffding_lower,hoeffding_upper,n_development
positive,32,16,0.2762022794075044,0.9965594552844997,0.8833036857453552,0.7203571758769953,0.6071014063378508,0.11325576953914451,1.3877787807814457e-15,0.1120995259707056,0.0030835384139437736,0.10605411489309165,0.11814493704831956,0.050259201957365114,0.1739398499840461,4096
positive,64,1,0.020000000000000018,0.29999999373031816,0.24143648877185117,0.27999999373031814,0.22143648877185115,0.05856350495846699,1.6653345369377348e-16,0.05850585937500004,0.0009746669518262898,0.05659498245486502,0.060416736295135054,-0.003334464638340452,0.12034618338834052,4096
positive,64,4,0.07763184000000012,0.7598999859167734,0.6543102834925288,0.6822681459167733,0.5766784434925287,0.10558970242424459,1.1518563880486e-15,0.10509289664062506,0.001988218252086274,0.10119490834525505,0.10899088493599507,0.04325257262728457,0.16693322065396554,4096
positive,64,16,0.2762022794075044,0.9966766951648128,0.9651577289698524,0.7204744157573084,0.688955449562348,0.03151896619496042,2.1996293675385914e-15,0.03043310758825466,0.0014640843655513568,0.027562706557399536,0.03330350861910979,-0.03140721642508583,0.09227343160159515,4096
negative,1,1,0.020000000000000018,0.034000000000000016,0.034000000000000016,0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
negative,1,4,0.07763184000000012,0.11956956800000011,0.11956956800000011,0.041937727999999994,0.041937727999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
negative,1,16,0.2762022794075044,0.3519119917849216,0.3519119917849216,0.0757097123774172,0.0757097123774172,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
negative,2,1,0.020000000000000018,0.04453600000000002,0.04634000000000002,0.024536000000000002,0.026340000000000002,-0.001804,8.673617379884035e-19,-0.0020654296874999993,0.0003047855864592473,-0.0026629750763771947,-0.001467884298622804,-0.06390575370084049,0.05977489432584049,4096
negative,2,4,0.07763184000000012,0.15111759331200011,0.1558271296000001,0.073485753312,0.0781952896,-0.004709536287999999,1.734723475976807e-18,-0.005393760195312498,0.0007887075276702971,-0.0069400555822012565,-0.0038474648084237395,-0.06723408420865298,0.05644656381802799,4096
negative,2,16,0.2762022794075044,0.40879372012156817,0.41367640842901243,0.13259144071406376,0.13747412902150802,-0.004882688307444261,1.0408340855860843e-17,-0.005594925755015594,0.0008187914869100192,-0.00720020205150609,-0.003989649458525098,-0.06743524976835609,0.0562453982583249,4096
negative,4,1,0.020000000000000018,0.058463439996000025,0.06729127400000001,0.03846343999600001,0.047291273999999994,-0.008827834003999988,8.673617379884035e-18,-0.009492187499999997,0.0006372681654087462,-0.010741579435301183,-0.008242795564698811,-0.07133251151334048,0.05234813651334049,4096
negative,4,4,0.07763184000000012,0.1927846540590094,0.21579816414400008,0.11515281405900929,0.13816632414399996,-0.023013510084990668,6.938893903907228e-18,-0.02485400812499999,0.001653379347144962,-0.028095530194428165,-0.021612486055571815,-0.08669433213834048,0.036986315888340504,4096
negative,4,16,0.2762022794075044,0.48372410550323863,0.5075301685066607,0.20752182609573422,0.23132788909915625,-0.02380606300342203,3.469446951953614e-17,-0.025889152287963554,0.001723963823852576,-0.0292690582917271,-0.022509246284200007,-0.08772947630130404,0.035951171725376936,4096
negative,8,1,0.020000000000000018,0.07102667608317088,0.09957600325017675,0.051026676083170866,0.07957600325017673,-0.028549327167005867,3.469446951953614e-18,-0.02742187499999999,0.0010302480552311366,-0.029441721089032084,-0.0254020289109679,-0.08926219901334048,0.0344184490133405,4096
negative,8,4,0.07763184000000012,0.2302535977247006,0.3044475165645696,0.1526217577247005,0.22681567656456947,-0.07419391883986898,2.7755575615628914e-17,-0.07125181374999998,0.002655213088734947,-0.07645747441162082,-0.06604615308837913,-0.13309213776334047,-0.009411489736659485,4096
negative,8,16,0.2762022794075044,0.5504695194103704,0.626835550236377,0.27426724000286595,0.35063327082887263,-0.07636603082600668,5.551115123125783e-17,-0.0733177831517314,0.0027507036241602423,-0.07871065715827343,-0.06792490914518938,-0.1351581071650719,-0.011477459138390912,4096
negative,16,1,0.020000000000000018,0.0771679056233757,0.1442335039910775,0.057167905623375675,0.12423350399107749,-0.06706559836770182,2.7755575615628914e-17,-0.06623046875,0.0014161421682936206,-0.06900687701946241,-0.06345406048053757,-0.1280707927633405,-0.004390144736659503,4096
negative,16,4,0.07763184000000012,0.24824619989982058,0.4213018533171702,0.17061435989982046,0.34367001331717006,-0.1730556534173496,5.551115123125783e-17,-0.17081576046874994,0.003609890912372752,-0.17789310849592263,-0.16373841244157725,-0.23265608448209044,-0.10897543645540944,4096
negative,16,16,0.2762022794075044,0.5807681070868012,0.7568466599850996,0.30456582767929674,0.4806443805775952,-0.17607855289829843,5.551115123125783e-17,-0.173657916461478,0.003701584739740748,-0.18091503422241262,-0.16640079870054336,-0.2354982404748185,-0.11181759244813749,4096
negative,32,1,0.020000000000000018,0.08000180396120696,0.1965061198423399,0.06000180396120694,0.17650611984233988,-0.11650431588113294,5.551115123125783e-17,-0.11519042968749998,0.0015134638223872408,-0.1181576412896171,-0.11222321808538287,-0.17703075370084048,-0.053350105674159494,4096
negative,32,4,0.07763184000000012,0.25588267220554073,0.5518245389351741,0.1782508322055406,0.474192698935174,-0.2959418667296334,5.551115123125783e-17,-0.2924418639453124,0.003784028867045376,-0.29986061700102323,-0.2850231108896016,-0.3542821879586529,-0.2306015399319719,4096
negative,32,16,0.2762022794075044,0.5900047008857267,0.8833036857453552,0.31380242147822224,0.6071014063378508,-0.2932989848596286,0.0,-0.28955499186909084,0.0038375114109273144,-0.29707859977654627,-0.2820313839616354,-0.35139531588243134,-0.22771466785575034,4096
negative,64,1,0.020000000000000018,0.08452582922715468,0.24143648877185117,0.06452582922715466,0.22143648877185115,-0.1569106595446965,0.0,-0.1556982421875,0.001397145755947915,-0.15843740716493454,-0.15295907721006546,-0.2175385662008405,-0.0938579181741595,4096
negative,64,4,0.07763184000000012,0.26768938943389403,0.6543102834925288,0.1900575494338939,0.5766784434925287,-0.3866208940586348,2.7755575615628914e-16,-0.3838168886328124,0.0034275601502465735,-0.39053676927635755,-0.3770970079892672,-0.4456572126461529,-0.3219765646194719,4096
negative,64,16,0.2762022794075044,0.6022487265256677,0.9651577289698524,0.32604644711816333,0.688955449562348,-0.36290900244418467,6.106226635438361e-16,-0.36059712528755045,0.0034987967731383933,-0.3674566684263688,-0.3537375821487321,-0.42243744930089094,-0.29875680127420995,4096
zero,1,1,0.020000000000000018,0.034000000000000016,0.034000000000000016,0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,1,4,0.07763184000000012,0.11956956800000011,0.11956956800000011,0.041937727999999994,0.041937727999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,1,16,0.2762022794075044,0.3519119917849216,0.3519119917849216,0.0757097123774172,0.0757097123774172,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,2,1,0.020000000000000018,0.04634000000000002,0.04634000000000002,0.026340000000000002,0.026340000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,2,4,0.07763184000000012,0.1558271296000001,0.1558271296000001,0.0781952896,0.0781952896,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,2,16,0.2762022794075044,0.41367640842901243,0.41367640842901243,0.13747412902150802,0.13747412902150802,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,4,1,0.020000000000000018,0.06729127400000001,0.06729127400000001,0.047291273999999994,0.047291273999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,4,4,0.07763184000000012,0.21579816414400008,0.21579816414400008,0.13816632414399996,0.13816632414399996,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,4,16,0.2762022794075044,0.5075301685066607,0.5075301685066607,0.23132788909915625,0.23132788909915625,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,8,1,0.020000000000000018,0.09957600325017675,0.09957600325017675,0.07957600325017673,0.07957600325017673,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,8,4,0.07763184000000012,0.3044475165645696,0.3044475165645696,0.22681567656456947,0.22681567656456947,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,8,16,0.2762022794075044,0.626835550236377,0.626835550236377,0.35063327082887263,0.35063327082887263,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,16,1,0.020000000000000018,0.1442335039910775,0.1442335039910775,0.12423350399107749,0.12423350399107749,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,16,4,0.07763184000000012,0.4213018533171702,0.4213018533171702,0.34367001331717006,0.34367001331717006,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,16,16,0.2762022794075044,0.7568466599850996,0.7568466599850996,0.4806443805775952,0.4806443805775952,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,32,1,0.020000000000000018,0.1965061198423399,0.1965061198423399,0.17650611984233988,0.17650611984233988,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,32,4,0.07763184000000012,0.5518245389351741,0.5518245389351741,0.474192698935174,0.474192698935174,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,32,16,0.2762022794075044,0.8833036857453552,0.8833036857453552,0.6071014063378508,0.6071014063378508,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,64,1,0.020000000000000018,0.24143648877185117,0.24143648877185117,0.22143648877185115,0.22143648877185115,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,64,4,0.07763184000000012,0.6543102834925288,0.6543102834925288,0.5766784434925287,0.5766784434925287,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
zero,64,16,0.2762022794075044,0.9651577289698524,0.9651577289698524,0.688955449562348,0.688955449562348,0.0,0.0,0.0,0.0,0.0,0.0,-0.06184032401334049,0.06184032401334049,4096
