location,epsilon,h,nominal,lower,upper,uniform_lower,uniform_upper,lower_attainment_error,upper_attainment_error
rare,0.0,8,0.24119408404070383,0.2411940840407039,0.2411940840407039,0.24119408404070383,0.24119408404070383,5.551115123125783e-17,5.551115123125783e-17
global,0.0,8,0.24119408404070383,0.2411940840407039,0.2411940840407039,0.24119408404070383,0.24119408404070383,5.551115123125783e-17,5.551115123125783e-17
rare,0.01,8,0.24119408404070383,0.2345895087046751,0.24742436491996136,0.08668347289654396,0.39570469518486373,5.551115123125783e-17,5.551115123125783e-17
global,0.01,8,0.24119408404070383,0.10910257732012796,0.3657997016258526,0.08668347289654396,0.39570469518486373,5.551115123125783e-17,0.0
rare,0.02,8,0.24119408404070383,0.22821822750315765,0.25347343618179063,-0.05727987079572519,0.5396680388771329,2.7755575615628914e-17,1.1102230246251565e-16
global,0.02,8,0.24119408404070383,-0.018323046710220836,0.4867811268624384,-0.05727987079572519,0.5396680388771329,0.0,2.220446049250313e-16
rare,0.03,8,0.24119408404070383,0.2220661779395948,0.25562175345791116,-0.19131919708390435,0.673707365165312,5.551115123125783e-17,1.1102230246251565e-16
global,0.03,8,0.24119408404070383,-0.14136403798147829,0.5297474723848478,-0.19131919708390435,0.673707365165312,2.7755575615628914e-17,0.0
rare,0.04,8,0.24119408404070383,0.21612001112337142,0.2576110193386687,-0.3160267579916294,0.7984149260730371,5.551115123125783e-17,0.0
global,0.04,8,0.24119408404070383,-0.2602873743059455,0.5695327899999998,-0.3160267579916294,0.7984149260730371,0.0,0.0
rare,0.05,8,0.24119408404070383,0.21036706250074505,0.2594514358101583,-0.43196505338117164,0.9143532214625794,5.551115123125783e-17,0.0
global,0.05,8,0.24119408404070383,-0.37534634675847356,0.6063411194297917,-0.43196505338117164,0.9143532214625794,0.0,0.0
rare,0.06,8,0.24119408404070383,0.2047953234955468,0.26115265359839224,-0.5396680388771335,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.06,8,0.24119408404070383,-0.4867811268624384,0.6403654751944702,-0.5396680388771335,1.0,2.220446049250313e-16,0.0
rare,0.07,8,0.24119408404070383,0.20264700621942633,0.2627237962614831,-0.6396422966292166,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.07,8,0.24119408404070383,-0.5297474723848478,0.6717883284562877,-0.6396422966292166,1.0,0.0,0.0
rare,0.08,8,0.24119408404070383,0.2006577403386687,0.26417348348333947,-0.7323681696841726,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.08,8,0.24119408404070383,-0.5695327900000001,0.7007820728934144,-0.7323681696841726,1.0,1.1102230246251565e-16,0.0
rare,0.09,8,0.24119408404070383,0.19881732386717912,0.26550985358671564,-0.8183008607289917,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.09,8,0.24119408404070383,-0.6063411194297919,0.7275094749609374,-0.8183008607289917,1.0,0.0,1.1102230246251565e-16
rare,0.1,8,0.24119408404070383,0.1971161060789452,0.2667405852832563,-0.8978714959592959,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.1,8,0.24119408404070383,-0.6403654751944705,0.7521241088917503,-0.8978714959592959,1.0,0.0,1.1102230246251565e-16
rare,0.11,8,0.24119408404070383,0.1955449634158543,0.26787291867797347,-0.9714881548188798,1.0,5.551115123125783e-17,0.0
global,0.11,8,0.24119408404070383,-0.6717883284562879,0.7747707767860958,-0.9714881548188798,1.0,0.0,2.220446049250313e-16
rare,0.12,8,0.24119408404070383,0.194095276193998,0.2689136755453938,-1.0,1.0,5.551115123125783e-17,0.0
global,0.12,8,0.24119408404070383,-0.7007820728934142,0.7955859141345023,-1.0,1.0,1.1102230246251565e-16,0.0
rare,0.13,8,0.24119408404070383,0.19275890609062185,0.2698692788944095,-1.0,1.0,5.551115123125783e-17,0.0
global,0.13,8,0.24119408404070383,-0.7275094749609374,0.8146979811148158,-1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16
rare,0.14,8,0.24119408404070383,0.1915281743940812,0.27074577183866877,-1.0,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.14,8,0.24119408404070383,-0.7521241088917503,0.8322278399999999,-1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16
rare,0.15,8,0.24119408404070383,0.19039584099936394,0.2715488357891359,-1.0,1.0,8.326672684688674e-17,0.0
global,0.15,8,0.24119408404070383,-0.7747707767860958,0.8482891190093436,-1.0,1.0,2.220446049250313e-16,1.1102230246251565e-16
rare,0.16,8,0.24119408404070383,0.1893550841319436,0.272283807985253,-1.0,1.0,5.551115123125783e-17,0.0
global,0.16,8,0.24119408404070383,-0.7955859141345023,0.8629885629316861,-1.0,1.0,0.0,0.0
rare,0.17,8,0.24119408404070383,0.18839948078292792,0.27295569838093026,-1.0,1.0,5.551115123125783e-17,0.0
global,0.17,8,0.24119408404070383,-0.8146979811148158,0.8764263708452316,-1.0,1.0,1.1102230246251565e-16,0.0
rare,0.18,8,0.24119408404070383,0.18752298783866872,0.2735692059013939,-1.0,1.0,5.551115123125783e-17,1.1102230246251565e-16
global,0.18,8,0.24119408404070383,-0.8322278399999998,0.8886965212545023,-1.0,1.0,1.1102230246251565e-16,0.0
rare,0.19,8,0.24119408404070383,0.18671992388820152,0.27412873408671556,-1.0,1.0,5.551115123125783e-17,0.0
